	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
338	ABC	MXAN_4199	Pulsatile	03.29.12	mic6	ABC Transporters--MXAN_4199--MXAN_4199-mic6-3.29.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4199/MXAN_4199-mic6-3.29.12	False	0
339	ABC	MXAN_4199	Pulsatile	03.29.12	mic7	ABC Transporters--MXAN_4199--MXAN_4199-mic7-3.29.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4199/MXAN_4199-mic7-3.29.12	False	0
340	ABC	MXAN_4199	Pulsatile			ABC Transporters--MXAN_4199--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4199/test	False	0
341	ABC	MXAN_4523	Pulsatile	02.26.13	mic3	ABC Transporters--MXAN_4523--MXAN_4523-mic3-02.26.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4523/MXAN_4523-mic3-02.26.13	False	0
342	ABC	MXAN_4523	Pulsatile	02.26.13	mic6	ABC Transporters--MXAN_4523--MXAN_4523-mic6-02.26.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4523/MXAN_4523-mic6-02.26.13	False	0
343	ABC	MXAN_4523	Pulsatile	02.26.13	mic8	ABC Transporters--MXAN_4523--MXAN_4523-mic8-02.26.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4523/MXAN_4523-mic8-02.26.13	False	0
344	ABC	MXAN_4523	Pulsatile			ABC Transporters--MXAN_4523--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4523/test	False	0
345	ABC	MXAN_4622	LWT	01.15.13	mic3	ABC Transporters--MXAN_4622--MXAN_4622-mic3-01.15.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4622/MXAN_4622-mic3-01.15.13	False	0
346	ABC	MXAN_4622	LWT	01.15.13	mic6	ABC Transporters--MXAN_4622--MXAN_4622-mic6-01.15.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4622/MXAN_4622-mic6-01.15.13	False	0
347	ABC	MXAN_4622	LWT	01.15.13	mic8	ABC Transporters--MXAN_4622--MXAN_4622-mic8-01.15.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_4622/MXAN_4622-mic8-01.15.13	False	0
